Date,Open,High,Low,Close,Volume,Net Turnover,Market Cap
2018-04-26,437.53,444.27,432.69,438.58,34665376,15231696.9,617930.38
2018-04-27,445.08,454.61,443.15,448.0,25944028,11665872.9,631203.19
2018-04-30,441.57,446.34,431.68,433.16,19729557,8600269.82,610296.13
2018-05-02,434.83,440.31,433.95,437.39,13604983,5954655.23,616251.44
2018-05-03,439.73,439.73,431.34,432.4,8778750,3806512.64,609219.06
2018-05-04,432.96,433.79,427.18,428.96,8441050,3623686.14,604372.44
2018-05-07,431.16,437.64,430.04,436.63,7811344,3385450.75,615174.44
2018-05-08,439.55,441.57,434.02,434.87,10972556,4797914.62,612703.56
2018-05-09,434.33,442.61,432.69,439.19,9994923,4375739.39,618785.63
2018-05-10,440.67,442.74,438.09,441.19,8927968,3937024.26,621604.94
2018-05-11,441.24,445.76,439.66,444.83,8921010,3958724.1,626736.69
2018-05-14,446.05,446.05,439.19,443.64,5736557,2538891.01,625057.75
2018-05-15,442.05,449.67,439.17,440.2,10676533,4746908.16,620211.13
2018-05-16,437.98,437.98,428.29,429.95,19154827,8290313.22,605766.25
2018-05-17,431.39,431.68,423.36,425.09,10526543,4495273.47,598923.94
2018-05-18,425.21,428.76,419.09,419.92,11630818,4922041.86,591638.13
2018-05-21,418.53,420.75,414.64,418.8,14732768,6141603.33,590054.25
2018-05-22,419.61,419.99,415.94,416.73,11498606,4809925.12,587177.56
2018-05-23,416.39,416.39,408.82,410.21,10157573,4190710.27,577990.56
2018-05-24,411.0,414.14,409.26,411.83,11826397,4873723.9,580271.44
2018-05-25,411.9,415.22,411.2,414.05,18078833,7481572.86,583407.69
2018-05-28,415.9,416.84,412.84,413.87,11559205,4793495.04,583154.25
2018-05-29,414.37,417.29,411.18,412.55,18176407,7522151.42,581285.19
2018-05-30,411.38,415.13,407.67,411.94,13323579,5486773.25,580429.88
2018-05-31,414.14,414.73,411.24,414.3,37698263,15613865.98,583756.19
2018-06-01,413.69,420.78,413.0,418.44,19493902,8125389.31,589585.19
2018-06-04,419.72,424.49,418.44,423.07,12454354,5262829.57,596111.13
2018-06-05,423.95,429.43,423.14,426.13,17727474,7568655.36,600419.56
2018-06-06,425.84,429.88,423.88,429.16,9316782,3988423.42,604696.25
2018-06-07,429.39,438.88,429.19,436.78,15249607,6646752.26,615435.56
2018-06-08,434.54,443.62,431.95,442.63,14527520,6366671.87,623672.25
2018-06-11,443.87,449.65,440.25,441.87,15269072,6806007.3,622595.13
2018-06-12,442.2,449.67,440.81,448.39,16557055,7379266.05,631782.13
2018-06-13,449.67,452.32,444.95,450.79,13178580,5921557.5,635171.81
2018-06-14,448.52,454.97,444.0,453.24,12197522,5491573.76,638624.88
2018-06-15,452.37,460.23,449.33,456.05,25117723,11469522.94,642584.81
2018-06-18,453.62,458.86,452.82,456.66,12570032,5737016.83,643440.19
2018-06-19,455.92,456.32,446.81,447.89,14112777,6363262.46,631085.19
2018-06-20,447.87,459.96,447.35,458.32,15997986,7306438.66,645784.44
2018-06-21,460.21,465.86,459.25,464.03,23372121,10830925.82,653831.0
2018-06-22,462.44,462.8,453.47,455.29,35959606,16406132.74,641560.38
2018-06-25,454.79,457.09,450.7,451.67,11558892,5252204.03,636459.56
2018-06-26,452.37,452.37,438.54,440.2,17943323,7961465.34,620301.75
2018-06-27,440.0,443.1,432.9,434.31,19922483,8724004.86,612001.06
2018-06-28,432.58,435.5,422.82,424.91,19083377,8175044.1,598758.0
2018-06-29,426.78,438.65,426.73,437.28,17716081,7707335.17,616183.13
2018-07-02,437.23,437.23,430.33,431.95,14812878,6408701.95,608685.0
2018-07-03,433.93,439.98,431.84,436.76,11268828,4925883.9,615465.13
2018-07-04,436.99,446.07,436.63,445.22,11120860,4915326.46,627377.75
2018-07-05,448.32,453.44,431.05,433.7,41629033,18499397.63,611156.25
2018-07-06,433.82,442.02,433.7,439.57,20373282,8958074.88,619425.44
2018-07-09,443.87,449.67,442.25,448.36,11497725,5128441.86,631813.31
2018-07-10,450.9,462.48,449.67,461.22,23227030,10641500.16,649935.69
2018-07-11,460.91,468.06,457.69,467.11,19269820,8932367.36,658236.5
2018-07-12,469.61,494.18,468.82,486.7,53615460,26045071.36,685832.0
